Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
120,NYK,2022-11-13,135,,OKC,L 135-145,240,48,97,.495,38,66,.576,10,31,.323,29,33,.879,135,55,88,.625,38,57,.667,17,31,.548,18,20,.900,145
121,POR,2022-10-24,135,,DEN,W 135-110,240,48,83,.578,32,48,.667,16,35,.457,23,31,.742,135,45,91,.495,33,60,.550,12,31,.387,8,14,.571,110
122,PHI,2023-04-09,134,@,BRK,W 134-105,240,53,101,.525,39,69,.565,14,32,.438,14,19,.737,134,35,83,.422,23,51,.451,12,32,.375,23,28,.821,105
123,ATL,2023-04-05,134,,WAS,W 134-116,240,43,84,.512,30,54,.556,13,30,.433,35,40,.875,134,45,94,.479,39,66,.591,6,28,.214,20,26,.769,116
124,LAL,2023-04-02,134,@,HOU,W 134-109,240,52,93,.559,43,63,.683,9,30,.300,21,28,.750,134,44,102,.431,31,68,.456,13,34,.382,8,10,.800,109
125,SAC,2023-04-02,134,,SAS,L 134-142 (OT),265,49,103,.476,38,59,.644,11,44,.250,25,32,.781,134,52,98,.531,39,64,.609,13,34,.382,25,29,.862,142
126,OKC,2023-03-28,134,,CHO,L 134-137,240,50,96,.521,39,66,.591,11,30,.367,23,29,.793,134,52,94,.553,38,59,.644,14,35,.400,19,30,.633,137
127,NYK,2023-03-20,134,,MIN,L 134-140,240,48,85,.565,34,57,.596,14,28,.500,24,28,.857,134,51,83,.614,37,59,.627,14,24,.583,24,32,.750,140
128,LAC,2023-03-15,134,,GSW,W 134-126,240,46,96,.479,30,62,.484,16,34,.471,26,32,.813,134,49,88,.557,32,52,.615,17,36,.472,11,15,.733,126
129,BOS,2023-03-11,134,@,ATL,W 134-125,240,52,95,.547,32,53,.604,20,42,.476,10,12,.833,134,50,100,.500,40,66,.606,10,34,.294,15,16,.938,125
130,IND,2023-03-09,134,,HOU,W 134-125 (OT),265,48,100,.480,30,55,.545,18,45,.400,20,21,.952,134,49,107,.458,43,90,.478,6,17,.353,21,29,.724,125
131,MIL,2023-03-07,134,@,ORL,W 134-123,240,46,78,.590,36,50,.720,10,28,.357,32,34,.941,134,50,100,.500,41,70,.586,9,30,.300,14,19,.737,123
132,SAC,2023-03-04,134,,MIN,L 134-138,240,49,89,.551,35,62,.565,14,27,.519,22,30,.733,134,48,80,.600,28,41,.683,20,39,.513,22,31,.710,138
133,DEN,2023-02-26,134,,LAC,W 134-124 (OT),265,49,96,.510,36,57,.632,13,39,.333,23,31,.742,134,44,90,.489,33,56,.589,11,34,.324,25,30,.833,124
134,LAC,2023-02-14,134,,GSW,W 134-124,240,49,92,.533,32,56,.571,17,36,.472,19,22,.864,134,45,83,.542,30,49,.612,15,34,.441,19,27,.704,124
